Ver. 4 7 real time data, Monday, August 28, 2017 1:58:57 AM
TEMPO	GIRI	LAMBDA	GAS	BENZ	PRESS	MAP	T.RID	T.GAS	LIV	SLOW	FAST	OX	MARKER	AUTOMARKER	ECUMARKER
24966	2639	1.650000	10.910000	6.180000	0.900000	0.660000	83.000000	70.000000	251	0.000000	0.000000	0.870000	0	0	0	
25127	2750	1.630000	10.620000	6.010000	0.900000	0.670000	82.000000	70.000000	250	0.000000	0.000000	0.870000	0	0	0	
25287	2790	1.460000	9.080000	5.150000	0.950000	0.490000	83.000000	70.000000	250	0.000000	0.000000	0.880000	0	0	0	
25447	2806	1.290000	6.270000	3.470000	0.960000	0.340000	82.000000	70.000000	250	0.000000	0.000000	0.880000	0	0	0	
25617	2911	1.480000	5.240000	2.900000	0.940000	0.290000	82.000000	70.000000	250	0.000000	0.000000	0.880000	0	0	0	
25777	2940	1.650000	4.990000	2.770000	0.950000	0.270000	82.000000	70.000000	250	0.000000	0.000000	0.880000	0	0	0	
25938	2934	1.660000	4.760000	2.630000	0.950000	0.260000	82.000000	70.000000	250	0.000000	0.000000	0.880000	0	0	0	
26098	2890	1.720000	4.510000	2.490000	0.950000	0.240000	82.000000	70.000000	250	0.000000	0.000000	0.880000	0	0	0	
26258	2838	1.630000	4.320000	2.370000	0.940000	0.230000	82.000000	70.000000	250	0.000000	0.000000	0.880000	0	0	0	
26418	2759	1.480000	4.240000	2.310000	0.950000	0.220000	82.000000	70.000000	250	0.000000	0.000000	0.880000	0	0	0	
26579	2641	1.330000	4.210000	2.310000	0.960000	0.220000	82.000000	70.000000	250	0.000000	0.000000	0.880000	0	0	0	
26759	2466	1.440000	4.230000	2.320000	0.960000	0.220000	82.000000	70.000000	250	0.000000	0.000000	0.880000	0	0	0	
26919	2199	1.460000	4.450000	2.460000	0.960000	0.230000	82.000000	70.000000	250	0.000000	0.000000	0.880000	0	0	0	
27079	1837	1.630000	4.950000	2.740000	0.940000	0.290000	82.000000	70.000000	250	0.000000	0.000000	0.880000	0	0	0	
27250	1611	1.950000	7.320000	3.980000	0.930000	0.360000	82.000000	70.000000	250	0.000000	0.000000	0.880000	0	0	0	
27410	1448	1.970000	8.130000	4.500000	0.940000	0.450000	82.000000	70.000000	250	0.000000	0.000000	0.880000	0	0	0	
27570	1451	1.680000	8.240000	4.620000	0.940000	0.480000	82.000000	70.000000	250	0.000000	0.000000	0.875000	0	0	0	
27730	1455	1.660000	8.590000	4.780000	0.950000	0.520000	82.000000	70.000000	250	0.000000	0.000000	0.875000	0	0	0	
27891	1467	1.840000	9.190000	5.240000	0.950000	0.560000	82.000000	70.000000	250	0.000000	0.000000	0.875000	0	0	0	
28051	1476	1.750000	9.620000	5.570000	0.940000	0.610000	82.000000	70.000000	250	0.000000	0.000000	0.875000	0	0	0	
28211	1497	1.570000	11.130000	6.430000	0.910000	0.670000	82.000000	70.000000	250	0.000000	0.000000	0.875000	0	0	0	
28391	1529	1.650000	11.380000	6.700000	0.930000	0.710000	82.000000	70.000000	250	0.000000	0.000000	0.875000	0	0	0	
28551	1541	1.630000	11.460000	6.780000	0.940000	0.720000	82.000000	70.000000	250	0.000000	0.000000	0.875000	0	0	0	
28712	1565	1.610000	11.730000	6.930000	0.940000	0.750000	82.000000	70.000000	250	0.000000	0.000000	0.880000	0	0	0	
28872	1608	1.680000	12.040000	7.230000	0.920000	0.780000	82.000000	70.000000	250	0.000000	0.000000	0.880000	0	0	0	
